City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
453,Mount Isa,AU,83.97,-20.7333,139.5,scattered clouds,ibis Styles Mt Isa Verona
457,Harlingen,US,83.93,26.1906,-97.6961,scattered clouds,Courtyard by Marriott Harlingen
463,Katsuura,JP,83.64,35.1333,140.3,scattered clouds,Katsuura Hotel Mikazuki
466,Tripoli,LY,78.8,32.8752,13.1875,clear sky,Al Waddan Hotel
467,Yasnyy,RU,75.27,51.0333,59.8742,clear sky,Gostinitsa
468,Pasni,PK,88.97,25.2631,63.471,overcast clouds,Kashmiri Hotal
469,Santo Domingo,DO,78.93,18.5001,-69.9886,broken clouds,Cabañas City Heart
470,Pedernales,DO,80.65,18.0384,-71.744,clear sky,Hotel Costa Marina
471,Muroto,JP,84.76,33.2833,134.15,broken clouds,Oota Ryokan
484,Port Lavaca,US,78.98,28.615,-96.6261,scattered clouds,Holiday Inn Express & Suites Port Lavaca
486,Charters Towers,AU,76.23,-20.1,146.2667,clear sky,Cattleman's Rest Motor Inn
487,Suleja,NG,76.19,9.1758,7.1808,overcast clouds,Capy Motel
490,Yashkul,RU,86.16,46.1711,45.3435,scattered clouds,"Gostinitsa ""Putnik"""
492,Winnemucca,US,75.25,40.973,-117.7357,thunderstorm,Winners Inn Casino
494,Ordynskoye,RU,76.87,54.3656,81.8994,overcast clouds,Lunevka
495,Ati,TD,77.11,13.2154,18.3353,overcast clouds,
