City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
208,Pangody,RU,2022-08-11 04:49:18,65.85,74.4859,60.26,46,32,2.62,scattered clouds
209,Shetpe,KZ,2022-08-11 04:49:18,44.1667,52.1167,89.53,20,0,11.83,clear sky
210,Wasilla,US,2022-08-11 04:45:39,61.5814,-149.4394,67.42,62,0,4.61,clear sky
211,Ekhabi,RU,2022-08-11 04:49:19,53.5102,142.9671,64.13,79,100,10.02,light rain
212,Calvinia,ZA,2022-08-11 04:49:19,-31.4707,19.776,46.54,71,100,2.46,overcast clouds
213,Torbay,CA,2022-08-11 04:49:20,47.6666,-52.7314,58.57,89,100,9.22,overcast clouds
214,Roald,NO,2022-08-11 04:40:39,62.5833,6.1333,64.17,94,75,20.71,light intensity drizzle
215,Lebu,CL,2022-08-11 04:38:42,-37.6167,-73.65,45.14,87,2,4.65,clear sky
216,Oranjemund,NA,2022-08-11 04:49:20,-28.55,16.4333,51.58,87,54,6.51,broken clouds
217,Georgetown,MY,2022-08-11 04:44:41,5.4112,100.3354,89.55,70,20,8.05,few clouds
218,Luena,AO,2022-08-11 04:49:21,-11.7833,19.9167,49.96,33,6,3.89,clear sky
219,Faanui,PF,2022-08-11 04:40:35,-16.4833,-151.75,78.17,71,10,8.41,light rain
220,Zyryanka,RU,2022-08-11 04:49:22,65.75,150.85,79.21,32,100,12.86,overcast clouds
221,Palafrugell,ES,2022-08-11 04:49:22,41.9174,3.1631,74.35,58,50,1.01,scattered clouds
222,Kpandu,GH,2022-08-11 04:49:22,6.9954,0.2931,71.46,82,100,3.11,overcast clouds
223,Abbeville,FR,2022-08-11 04:49:23,50.1,1.8333,67.96,56,3,4.97,clear sky
224,Carmen,MX,2022-08-11 04:44:25,18.6333,-91.8333,78.31,83,97,7.34,overcast clouds
225,Taksimo,RU,2022-08-11 04:49:23,56.3444,114.8794,68.56,53,98,2.15,overcast clouds
226,Dapaong,TG,2022-08-11 04:50:24,10.8639,0.205,72.79,89,74,4.88,broken clouds
227,Baykit,RU,2022-08-11 04:50:24,61.67,96.37,66.34,37,59,10.13,broken clouds
228,Weligama,LK,2022-08-11 04:50:25,5.9667,80.4167,83.68,72,96,11.36,overcast clouds
229,Coquimbo,CL,2022-08-11 04:50:25,-29.9533,-71.3436,49.73,100,20,2.3,few clouds
230,Saint-Pierre,RE,2022-08-11 04:50:26,-21.3393,55.4781,69.91,64,20,18.41,few clouds
231,Ulaangom,MN,2022-08-11 04:50:26,49.9811,92.0667,65.91,67,96,12.75,overcast clouds
232,Hilo,US,2022-08-11 04:49:18,19.7297,-155.09,83.28,81,20,4.61,few clouds
233,Olinda,BR,2022-08-11 04:50:27,-8.0089,-34.8553,74.93,83,75,4.61,broken clouds
234,Nacozari,MX,2022-08-11 04:50:27,25.3366,-108.2574,75.22,83,83,7.43,broken clouds
235,Marsh Harbour,BS,2022-08-11 04:50:28,26.5412,-77.0636,82.02,76,1,11.79,clear sky
236,Poplar Bluff,US,2022-08-11 04:50:28,36.757,-90.3929,74.93,90,0,4.61,clear sky
237,Xining,CN,2022-08-11 04:50:29,36.6167,101.7667,81.81,55,77,3.87,broken clouds
238,Leningradskiy,RU,2022-08-11 04:48:01,69.3833,178.4167,49.55,76,53,6.67,broken clouds
239,Constitucion,CL,2022-08-11 04:48:12,-35.3333,-72.4167,46.96,84,0,6.89,clear sky
240,Yeroham,IL,2022-08-11 04:50:29,30.9872,34.9314,72.91,76,0,3.76,clear sky
241,Basay,PH,2022-08-11 04:50:30,9.4087,122.64,85.26,69,39,4.54,scattered clouds
242,Oyem,GA,2022-08-11 04:50:31,1.5995,11.5793,67.26,97,93,3.18,overcast clouds
243,Port Hueneme,US,2022-08-11 04:50:31,34.1478,-119.1951,82.78,75,0,4.61,clear sky
244,Baturaja,ID,2022-08-11 04:50:31,-4.1333,104.1667,90.3,49,26,4.65,scattered clouds
