City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Asau,RO,2022-08-03 00:46:08,46.4333,26.4,56.32,69,0,5.03
106,Muros,ES,2022-08-03 00:46:08,42.7762,-9.0603,70.09,80,22,10.6
107,Elizabeth City,US,2022-08-03 00:44:14,36.2946,-76.2511,86.02,81,0,3.44
108,Namatanai,PG,2022-08-03 00:46:09,-3.6667,152.4333,84.36,67,20,9.4
109,Merida,MX,2022-08-03 00:46:09,20.9667,-89.6167,86.02,66,75,18.99
110,Kabanjahe,ID,2022-08-03 00:46:10,3.1001,98.4908,65.01,94,100,1.79
111,Saint-Pierre,RE,2022-08-03 00:46:10,-21.3393,55.4781,65.91,79,75,6.91
112,Freeport,US,2022-08-03 00:46:11,40.6576,-73.5832,88.25,66,0,8.05
113,Butaritari,KI,2022-08-03 00:46:11,3.0707,172.7902,82.02,75,20,15.99
114,Pimentel,PE,2022-08-03 00:46:12,-6.8367,-79.9342,61.97,89,1,14.92
115,Tuatapere,NZ,2022-08-03 00:46:12,-46.1333,167.6833,51.03,73,50,12.73
116,Salalah,OM,2022-08-03 00:46:13,17.0151,54.0924,77.09,94,100,5.75
117,Mangan,IN,2022-08-03 00:46:13,27.5167,88.5333,77.7,90,100,1.03
118,San Cristobal,VE,2022-08-03 00:46:13,7.7669,-72.225,69.98,91,100,1.9
119,Vila Velha,BR,2022-08-03 00:46:14,-20.3297,-40.2925,73.35,88,40,9.22
120,Hasaki,JP,2022-08-03 00:46:14,35.7333,140.8333,91.8,72,100,7.76
121,Clyde River,CA,2022-08-03 00:46:15,70.4692,-68.5914,39.43,93,100,2.3
122,Candolim,IN,2022-08-03 00:46:15,15.5181,73.7626,79.18,86,100,8.88
123,Atuona,PF,2022-08-03 00:46:16,-9.8,-139.0333,77.27,73,12,13.15
124,Price,US,2022-08-03 00:46:16,39.5994,-110.8107,87.06,30,0,14.97
125,Dunedin,NZ,2022-08-03 00:42:14,-45.8742,170.5036,54.3,62,73,16.04
126,Brae,GB,2022-08-03 00:46:17,60.3964,-1.353,56.25,91,100,20.6
127,Bairiki,KI,2022-08-03 00:46:17,1.3292,172.9752,86.0,70,20,12.66
128,Sambava,MG,2022-08-03 00:46:18,-14.2667,50.1667,66.7,82,51,12.66
129,Alice Springs,AU,2022-08-03 00:46:18,-23.7,133.8833,76.55,20,71,17.27
130,Lagoa,PT,2022-08-03 00:46:19,39.05,-27.9833,74.07,86,99,15.86
131,Kuytun,RU,2022-08-03 00:46:19,54.3419,101.5036,58.3,89,100,5.79
132,Whitehorse,CA,2022-08-03 00:45:17,60.7161,-135.0538,63.37,51,75,6.91
133,Vrangel,RU,2022-08-03 00:46:20,42.7297,133.0839,73.26,90,87,4.7
134,Tasiilaq,GL,2022-08-03 00:46:20,65.6145,-37.6368,42.96,60,16,2.57
135,Terrell,US,2022-08-03 00:42:34,32.736,-96.2753,100.29,33,0,12.66
136,Pokrovsk,UA,2022-08-03 00:46:21,48.282,37.1758,64.26,94,21,3.13
137,Bria,CF,2022-08-03 00:46:22,6.5423,21.9863,66.97,97,95,2.21
138,Tasgaon,IN,2022-08-03 00:47:22,17.0333,74.6,72.88,91,100,5.44
139,Tuy Hoa,VN,2022-08-03 00:42:55,13.0833,109.3,79.23,87,99,5.91
140,Dikson,RU,2022-08-03 00:47:23,73.5069,80.5464,43.09,89,100,13.96
141,Marawi,PH,2022-08-03 00:47:23,7.9986,124.2928,79.21,65,24,0.83
142,Jiuquan,CN,2022-08-03 00:47:24,39.7432,98.5174,73.83,48,17,10.58
143,Saldanha,ZA,2022-08-03 00:47:24,-33.0117,17.9442,53.65,91,7,7.61
144,Sterling,US,2022-08-03 00:47:10,39.0062,-77.4286,85.14,68,75,8.05
145,Tuktoyaktuk,CA,2022-08-03 00:47:25,69.4541,-133.0374,51.8,93,75,13.8
146,Igrim,RU,2022-08-03 00:47:25,63.1906,64.4162,58.69,67,37,2.8
147,Sorland,NO,2022-08-03 00:47:26,67.667,12.6934,53.46,79,86,20.38
148,Balkanabat,TM,2022-08-03 00:47:26,39.5108,54.3671,86.94,26,0,6.76
